Designator,Mid X,Mid Y,Rotation,Layer
C1,139.425,-103.9175,270.0,top
C2,140.975,-103.9175,270.0,top
C3,136.225,-99.9675,180.0,top
C4,136.225,-101.5175,180.0,top
C5,149.475,-99.3175,180.0,top
C6,149.475,-97.7675,180.0,top
C7,149.475,-100.8675,180.0,top
D1,129.925,-96.8175,0.0,top
D2,163.325,-103.3975,90.0,top
D3,166.925,-93.5975,0.0,top
D4,129.925,-101.2175,0.0,top
D5,129.925,-99.0175,0.0,top
D6,129.925,-103.6425,0.0,top
J1,113.525,-100.0,180.0,top
J2,181.545,-99.995,90.0,top
J4,153.25,-104.65,90.0,top
K2,170.3525,-101.0975,0.0,top
Q1,163.8125,-98.5975,270.0,top
R1,136.225,-103.0675,180.0,top
R2,136.225,-98.4175,180.0,top
R3,136.225,-96.8675,180.0,top
R4,129.875,-94.8175,0.0,top
R5,161.275,-103.5475,90.0,top
R6,161.275,-98.6975,90.0,top
R7,172.675,-93.5975,180.0,top
R8,149.475,-96.2175,0.0,top
U1,141.775,-98.3175,90.0,top
U2,155.525,-97.1675,270.0,top
